ticker,company,category,role,industry_class,stage,revenue_purity,valuation_models,valuation_label,model_read,currency,price,marketCap,trailingPE,forwardPE,evToEbitda,ps,pb,revenueGrowth,grossMargins,ebitdaMargins,profitMargins,fetch_error,source_url
AMZN,Amazon,1. L1 需求端 / AI 雲端 / Data Center,AWS，最大雲端算力需求端之一,軟體 / IP / 平台型,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE",合理反映,大型平台估值未單靠 AI 題材脫離基本面,USD,270.64,2911304417280.0,31.653803,27.443575,19.272,3.9194918,6.586037,0.166,0.50604,0.20984,0.12224,,https://finance.yahoo.com/quote/AMZN
MSFT,Microsoft,1. L1 需求端 / AI 雲端 / Data Center,Azure，OpenAI / enterprise AI 需求核心,軟體 / IP / 平台型,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE",合理反映,大型平台估值未單靠 AI 題材脫離基本面,USD,450.24,3344578379776.0,26.81596,23.28298,18.388,10.508521,8.0721445,0.183,0.68309,0.57956004,0.39341998,,https://finance.yahoo.com/quote/MSFT
GOOGL,Alphabet,1. L1 需求端 / AI 雲端 / Data Center,Google Cloud / TPU / AI infrastructure,軟體 / IP / 平台型,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE",合理反映,大型平台估值未單靠 AI 題材脫離基本面,USD,380.34,4607987679232.0,28.989328,26.249208,28.374,10.906531,9.625449,0.218,0.60368,0.38181,0.37919,,https://finance.yahoo.com/quote/GOOGL
META,Meta,1. L1 需求端 / AI 雲端 / Data Center,大型自用 AI cluster 與 Llama 生態,軟體 / IP / 平台型,已獲利成長,低到中,"EV/Sales, FCF margin, Forward PE",合理反映,大型平台估值未單靠 AI 題材脫離基本面,USD,632.51,1605578129408.0,22.992002,17.490955,14.74,7.469091,6.587754,0.331,0.81941,0.5085,0.32837,,https://finance.yahoo.com/quote/META
ORCL,Oracle,1. L1 需求端 / AI 雲端 / Data Center,OCI，GPU cloud 與 enterprise AI infrastructure,軟體 / IP / 平台型,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE",合理反映,大型平台估值未單靠 AI 題材脫離基本面,USD,225.78,649353691136.0,40.462364,28.108276,28.348,10.134117,19.353676,0.217,0.67084,0.42826,0.25298,,https://finance.yahoo.com/quote/ORCL
IBM,IBM,1. L1 需求端 / AI 雲端 / Data Center,Enterprise AI、hybrid cloud,軟體 / IP / 平台型,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE",合理反映,大型平台估值未單靠 AI 題材脫離基本面,USD,297.8,279897833472.0,26.377323,22.133545,20.348,4.0617294,8.488441,0.095,0.58358,0.24104999,0.15606,,https://finance.yahoo.com/quote/IBM
CRWV,CoreWeave,1. L1 需求端 / AI 雲端 / Data Center,GPU cloud / AI compute pure play,軟體 / IP / 平台型,轉機 / 虧轉盈,高,"EV/Sales, FCF margin, Forward PE",偏熱,虧損但營收倍數已不低，需要毛利與現金流改善,USD,109.53,59756322816.0,,-174.68343,30.634,9.596327,12.24483,1.116,0.69375,0.48563,-0.25566,,https://finance.yahoo.com/quote/CRWV
NBIS,Nebius,1. L1 需求端 / AI 雲端 / Data Center,AI infrastructure / GPU cloud,軟體 / IP / 平台型,已獲利成長,低到中,"EV/Sales, FCF margin, Forward PE",過熱,平台型公司 PE > 55x，需要 AI monetization 明確加速,USD,231.09,58673332224.0,89.22394,639.7486,-1538.899,66.833725,8.173522,6.839,0.72058,-0.04397,0.93086,,https://finance.yahoo.com/quote/NBIS
APLD,Applied Digital,1. L1 需求端 / AI 雲端 / Data Center,AI data center / HPC infrastructure,軟體 / IP / 平台型,轉機 / 虧轉盈,低到中,"EV/Sales, FCF margin, Forward PE",極度過熱 / priced for perfection,虧損且 PS > 20x，需要高成長與快速轉盈同時成立,USD,47.28,13511183360.0,,-49.76842,1121.499,42.320045,8.532756,1.393,0.45409,0.04355,-0.59472,,https://finance.yahoo.com/quote/APLD
EQIX,Equinix,1. L1 需求端 / AI 雲端 / Data Center,Colocation / interconnection data center,軟體 / IP / 平台型,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE",過熱,平台型公司 PE > 55x，需要 AI monetization 明確加速,USD,1068.04,105334644736.0,74.066574,55.559574,29.736,11.057595,7.367013,0.121,0.51606,0.44951,0.14928001,,https://finance.yahoo.com/quote/EQIX
DLR,Digital Realty,1. L1 需求端 / AI 雲端 / Data Center,Hyperscale / colocation data center REIT,軟體 / IP / 平台型,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE",過熱,平台型公司 PE > 55x，需要 AI monetization 明確加速,USD,190.0,67962822656.0,50.531914,66.33754,29.95,10.763748,2.928619,0.167,0.55342996,0.4575,0.21823,,https://finance.yahoo.com/quote/DLR
CORZ,Core Scientific,1. L1 需求端 / AI 雲端 / Data Center,AI/HPC hosting 與資料中心轉型,軟體 / IP / 平台型,已獲利成長,低到中,"EV/Sales, FCF margin, Forward PE",過熱,平台型公司 PE > 55x，需要 AI monetization 明確加速,USD,26.85,8535219712.0,,85.2381,-100.123,24.06063,-6.5169907,0.449,0.2156,-0.2727,0.0,,https://finance.yahoo.com/quote/CORZ
IREN,IREN,1. L1 需求端 / AI 雲端 / Data Center,AI/HPC data center 與 power-linked compute,軟體 / IP / 平台型,轉機 / 虧轉盈,低到中,"EV/Sales, FCF margin, Forward PE",極度過熱 / priced for perfection,虧損且 PS > 20x，需要高成長與快速轉盈同時成立,USD,63.54,22707843072.0,82.519485,-67.59575,166.192,29.994219,8.394769,-0.0,0.68397003,0.19440001,0.20877,,https://finance.yahoo.com/quote/IREN
WULF,TeraWulf,1. L1 需求端 / AI 雲端 / Data Center,Power-linked compute / HPC hosting,軟體 / IP / 平台型,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE",極度過熱 / priced for perfection,PS > 20x 且成長未足以吸收估值,USD,25.56,12665814016.0,,138.16216,-106.043,75.36394,76.52695,-0.011,0.64018995,-0.86137,0.0,,https://finance.yahoo.com/quote/WULF
CIFR,Cipher Mining,1. L1 需求端 / AI 雲端 / Data Center,Data center / compute infrastructure optionality,軟體 / IP / 平台型,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE",極度過熱 / priced for perfection,PS > 20x 且成長未足以吸收估值,USD,23.65,9674012672.0,,35.298508,82.808,46.10603,13.422248,-0.288,0.12375,0.79029,0.0,,https://finance.yahoo.com/quote/CIFR
NVDA,NVIDIA,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,AI GPU、rack-scale platform、networking,半導體設備 / 高毛利瓶頸股,已獲利成長,高,"Forward PE, PEG, EV/EBITDA",合理反映,估值與高毛利設備/晶片股大致相符,USD,211.14,5114022068224.0,32.383434,16.681019,30.627,20.174374,32.623608,0.852,0.74144995,0.65294,0.62966,,https://finance.yahoo.com/quote/NVDA
AMD,AMD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,AI GPU、CPU、accelerator 替代供應,半導體設備 / 高毛利瓶頸股,已獲利成長,中高,"Forward PE, PEG, EV/EBITDA",過熱,EV/EBITDA > 80x，估值需多年高成長與高 margin 同時支撐,USD,516.1,841552887808.0,172.60869,39.82394,112.123,22.468971,13.050294,0.378,0.5306,0.19838,0.13374,,https://finance.yahoo.com/quote/AMD
AVGO,Broadcom,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,Custom ASIC、switch silicon、connectivity,半導體設備 / 高毛利瓶頸股,已獲利成長,中高,"Forward PE, PEG, EV/EBITDA",合理反映,估值與高毛利設備/晶片股大致相符,USD,446.77,2115307700224.0,86.920235,24.227072,58.23,30.978994,26.490957,0.295,0.76725996,0.54506,0.36571997,,https://finance.yahoo.com/quote/AVGO
MRVL,Marvell,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,Custom silicon、optical DSP、data center silicon,半導體設備 / 高毛利瓶頸股,已獲利成長,中高,"Forward PE, PEG, EV/EBITDA",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,USD,205.0,179334004736.0,70.44673,33.7438,66.655,20.572668,12.139516,0.276,0.51502997,0.31111,0.28986,,https://finance.yahoo.com/quote/MRVL
INTC,Intel,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,CPU、foundry、accelerator、networking,半導體設備 / 高毛利瓶頸股,轉機 / 虧轉盈,中,"Forward PE, PEG, EV/EBITDA",過熱,虧損且 PS > 10x，估值仰賴明確轉盈路徑,USD,114.68,576381648896.0,,74.48107,42.488,10.720787,5.171123,0.072,0.372,0.26364002,-0.05904,,https://finance.yahoo.com/quote/INTC
ARM,Arm,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,CPU IP、data center CPU ecosystem,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, PEG, EV/EBITDA",過熱,EV/EBITDA > 80x，估值需多年高成長與高 margin 同時支撐,USD,353.29,377341575168.0,415.63528,115.63715,351.49,76.69544,45.369205,0.201,0.97541,0.2164,0.18374,,https://finance.yahoo.com/quote/ARM
QCOM,Qualcomm,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,AI inference、edge/data center optionality,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, PEG, EV/EBITDA",合理反映,估值與高毛利設備/晶片股大致相符,USD,251.02,264575090688.0,27.020452,23.6006,20.774,5.9473786,9.745322,-0.035,0.54799,0.2922,0.22308001,,https://finance.yahoo.com/quote/QCOM
ALAB,Astera Labs,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,PCIe/CXL retimer、connectivity,半導體設備 / 高毛利瓶頸股,已獲利成長,高,"Forward PE, PEG, EV/EBITDA",過熱,EV/EBITDA > 80x，估值需多年高成長與高 margin 同時支撐,USD,342.85,58767212544.0,233.2313,81.50114,246.908,58.682476,39.308643,0.934,0.75988996,0.23305,0.26724002,,https://finance.yahoo.com/quote/ALAB
MPWR,Monolithic Power,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,Power management IC,半導體設備 / 高毛利瓶頸股,已獲利成長,中,"Forward PE, PEG, EV/EBITDA",過熱,EV/EBITDA > 80x，估值需多年高成長與高 margin 同時支撐,USD,1566.21,76947898368.0,112.35366,51.932003,88.195,26.021494,20.924091,0.261,0.55175,0.28988,0.22984,,https://finance.yahoo.com/quote/MPWR
ADI,Analog Devices,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,Analog / power / signal chain,半導體設備 / 高毛利瓶頸股,已獲利成長,中,"Forward PE, PEG, EV/EBITDA",合理反映,估值與高毛利設備/晶片股大致相符,USD,413.85,201580969984.0,61.768658,28.013319,33.638,15.822442,5.974189,0.372,0.64491,0.48268002,0.26007998,,https://finance.yahoo.com/quote/ADI
TXN,Texas Instruments,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,Analog / embedded / power IC,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, PEG, EV/EBITDA",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,USD,305.68,278197174272.0,52.342464,32.47213,33.138,15.08825,16.579702,0.186,0.57322,0.46995,0.29108,,https://finance.yahoo.com/quote/TXN
MCHP,Microchip,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,MCU、timing、control、connectivity,半導體設備 / 高毛利瓶頸股,已獲利成長,中,"Forward PE, PEG, EV/EBITDA",合理反映,估值與高毛利設備/晶片股大致相符,USD,94.65,51307806720.0,430.2273,23.13457,46.518,10.886212,7.9678426,0.351,0.57735,0.25866,0.048800003,,https://finance.yahoo.com/quote/MCHP
TSM,TSMC,3. L3 半導體製造 / 記憶體,先進製程晶圓代工、AI GPU/ASIC 核心,封測 / 代工 / 資本密集,已獲利成長,中高,"EV/EBITDA, ROIC, normalized PE",資料不足,需要利用率、折舊與 capex 後 FCF 支持,USD,418.45,2170280083456.0,35.8569,21.44058,3.012,0.52883303,64.00909,0.351,0.61873,0.69593,0.46505,,https://finance.yahoo.com/quote/TSM
005930.KS,Samsung Electronics,3. L3 半導體製造 / 記憶體,Memory、foundry、HBM 競爭者,封測 / 代工 / 資本密集,已獲利成長,中,"EV/EBITDA, ROIC, normalized PE",合理反映,EV/EBITDA 落在可解釋區間，需追蹤利用率與 capex,KRW,317000.0,2081600594509824.0,,5.9372644,14.109,5.3602686,,0.692,0.47678003,0.36214,0.21459,,https://finance.yahoo.com/quote/005930.KS
000660.KS,SK hynix,3. L3 半導體製造 / 記憶體,HBM 領先供應商,封測 / 代工 / 資本密集,已獲利成長,中高,"EV/EBITDA, ROIC, normalized PE",合理反映,EV/EBITDA 落在可解釋區間，需追蹤利用率與 capex,KRW,2333000.0,1656091473608704.0,,6.1025953,17.668,12.538186,,1.981,0.68342,0.69418,0.5689,,https://finance.yahoo.com/quote/000660.KS
MU,Micron,3. L3 半導體製造 / 記憶體,HBM、DRAM、NAND，美系記憶體核心,封測 / 代工 / 資本密集,已獲利成長,中高,"EV/EBITDA, ROIC, normalized PE",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,USD,971.0,1095029751808.0,45.86679,9.222632,29.651,18.841166,15.115899,1.963,0.58437,0.63324,0.41486,,https://finance.yahoo.com/quote/MU
GFS,GlobalFoundries,3. L3 半導體製造 / 記憶體,Specialty foundry,封測 / 代工 / 資本密集,成熟複利,中,"EV/EBITDA, ROIC, normalized PE",資料不足,需要利用率、折舊與 capex 後 FCF 支持,USD,79.97,43856863232.0,50.936306,31.831009,20.97,6.4118223,3.7507625,0.031,0.26111,0.29722,0.11374,,https://finance.yahoo.com/quote/GFS
UMC,UMC,3. L3 半導體製造 / 記憶體,Mature-node foundry,封測 / 代工 / 資本密集,成熟複利,中,"EV/EBITDA, ROIC, normalized PE",資料不足,需要利用率、折舊與 capex 後 FCF 支持,USD,22.18,55655976960.0,35.20635,27.587408,2.123,0.23119462,4.3155994,0.055,0.29609,0.43205002,0.20816,,https://finance.yahoo.com/quote/UMC
2303.TW,聯電,3. L3 半導體製造 / 記憶體,Mature-node foundry,封測 / 代工 / 資本密集,成熟複利,中,"EV/EBITDA, ROIC, normalized PE",合理反映,EV/EBITDA 落在可解釋區間，需追蹤利用率與 capex,TWD,144.5,1812959723520.0,36.675125,27.135897,16.917,7.531025,4.4692564,0.055,0.29609,0.43205002,0.20816,,https://finance.yahoo.com/quote/2303.TW
WDC,Western Digital,3. L3 半導體製造 / 記憶體,NAND / storage,封測 / 代工 / 資本密集,已獲利成長,中,"EV/EBITDA, ROIC, normalized PE",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,USD,531.21,183098605568.0,31.751945,30.159443,46.229,15.547134,25.398518,0.455,0.45428002,0.33353,0.55286,,https://finance.yahoo.com/quote/WDC
STX,Seagate,3. L3 半導體製造 / 記憶體,HDD / enterprise storage,封測 / 代工 / 資本密集,已獲利成長,中,"EV/EBITDA, ROIC, normalized PE",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,USD,879.8,199056605184.0,83.31439,33.26724,57.003,18.079618,418.15588,0.441,0.41571,0.31916,0.21599,,https://finance.yahoo.com/quote/STX
6723.T,Renesas,3. L3 半導體製造 / 記憶體,MCU、power、industrial semiconductor,封測 / 代工 / 資本密集,轉機 / 虧轉盈,中,"EV/EBITDA, ROIC, normalized PE",偏熱,虧損但營收倍數已不低，需要毛利與現金流改善,JPY,4500.0,8164326506496.0,,17.485472,24.489,5.8621116,3.2133307,0.232,0.58133,0.26584998,-0.00691,,https://finance.yahoo.com/quote/6723.T
0981.HK,SMIC,3. L3 半導體製造 / 記憶體,中國晶圓代工,封測 / 代工 / 資本密集,成熟複利,中,"EV/EBITDA, ROIC, normalized PE",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,HKD,81.6,653870956544.0,116.57143,59.364395,106.144,68.217545,4.0356746,0.115,0.20389,0.47807,0.072459996,,https://finance.yahoo.com/quote/0981.HK
ASML,ASML,4. L3 半導體設備 / EDA / 測試,EUV / lithography,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,USD,1612.76,621586219008.0,53.758667,33.82436,48.478,18.44869,1427.0149,0.132,0.52603,0.37707,0.29713,,https://finance.yahoo.com/quote/ASML
AMAT,Applied Materials,4. L3 半導體設備 / EDA / 測試,Deposition、etch、materials engineering,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",合理反映,估值與高毛利設備/晶片股大致相符,USD,450.06,357329371136.0,42.378532,27.833576,38.421,12.311514,14.945208,0.114,0.48956,0.31956,0.29314,,https://finance.yahoo.com/quote/AMAT
LRCX,Lam Research,4. L3 半導體設備 / EDA / 測試,Etch / deposition,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,USD,318.18,397906673664.0,60.26136,40.06129,50.574,18.352068,37.592155,0.238,0.49979,0.36195,0.30938998,,https://finance.yahoo.com/quote/LRCX
KLAC,KLA,4. L3 半導體設備 / EDA / 測試,Process control / inspection,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,USD,1921.71,251028209664.0,54.347,38.54616,43.112,19.167345,43.08187,0.115,0.61446,0.44669998,0.35661998,,https://finance.yahoo.com/quote/KLAC
8035.T,Tokyo Electron,4. L3 半導體設備 / EDA / 測試,半導體製程設備,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,JPY,52420.0,23946357374976.0,41.84094,40.946728,33.042,9.7998905,11.518497,0.086,0.45339,0.28904,0.23509,,https://finance.yahoo.com/quote/8035.T
ASM.AS,ASM International,4. L3 半導體設備 / EDA / 測試,ALD / epitaxy,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,EUR,898.4,43919249408.0,44.65209,33.273743,39.433,13.739794,10.240862,0.028,0.51794,0.34122002,0.31006,,https://finance.yahoo.com/quote/ASM.AS
6146.T,Disco,4. L3 半導體設備 / EDA / 測試,Dicing / grinding,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",過熱,PE > 45x，需 backlog、ASP、毛利率持續兌現,JPY,65090.0,7059793248256.0,52.083252,47.82724,34.076,16.159239,12.011415,,0.7015,0.45512,0.3102,,https://finance.yahoo.com/quote/6146.T
6857.T,Advantest,4. L3 半導體設備 / EDA / 測試,Semiconductor test,半導體設備 / 高毛利瓶頸股,已獲利成長,中,"Forward PE, EV/EBITDA, Reverse DCF",極度過熱 / priced for perfection,高毛利瓶頸股 PE > 65x，需成長與高終值倍數同時成立,JPY,26170.0,18983352795136.0,51.020607,110.08287,35.574,16.820118,23.860909,0.412,0.64335996,0.46493998,0.33258,,https://finance.yahoo.com/quote/6857.T
TER,Teradyne,4. L3 半導體設備 / EDA / 測試,Semiconductor test,半導體設備 / 高毛利瓶頸股,已獲利成長,中,"Forward PE, EV/EBITDA, Reverse DCF",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,USD,374.31,58595295232.0,69.44527,39.3463,50.309,15.47341,20.89833,0.87,0.58702,0.30671,0.22553,,https://finance.yahoo.com/quote/TER
7735.T,SCREEN,4. L3 半導體設備 / EDA / 測試,Cleaning / process equipment,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",未充分反映,估值低於高品質設備股常態且仍有成長,JPY,11120.0,2102656630784.0,22.830862,12.71293,13.724,3.4711738,4.321412,0.091,0.38494,0.22633,0.15188,,https://finance.yahoo.com/quote/7735.T
SNPS,Synopsys,4. L3 半導體設備 / EDA / 測試,EDA / IP,半導體設備 / 高毛利瓶頸股,已獲利成長,中,"Forward PE, EV/EBITDA, Reverse DCF",合理反映,估值與高毛利設備/晶片股大致相符,USD,475.62,91071397888.0,108.589035,27.633432,58.616,10.4928465,2.987544,0.419,0.82598996,0.19543,0.089090005,,https://finance.yahoo.com/quote/SNPS
CDNS,Cadence,4. L3 半導體設備 / EDA / 測試,EDA / simulation,半導體設備 / 高毛利瓶頸股,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,USD,374.93,103411687424.0,87.80562,39.949917,52.104,18.704817,15.760646,0.187,0.86079,0.36433,0.21180001,,https://finance.yahoo.com/quote/CDNS
ANSS,Ansys,4. L3 半導體設備 / EDA / 測試,Simulation / multiphysics,半導體設備 / 高毛利瓶頸股,早期高成長,中,"Forward PE, EV/EBITDA, Reverse DCF",資料不足,缺少可用的 PE / EV/EBITDA / PS / PB 基礎,,,,,,,,,,,,,,https://finance.yahoo.com/quote/ANSS
