region,ticker,display_ticker,company,exchange,currency,category,supply_chain_category,role,industry_class,industry_model_class,stage,lifecycle_stage,revenue_purity,valuation_models,valuation_basis,selected_model,fallback_model,model_confidence,coverage_status,model_validation_signal_count,model_validation_convergence_rate,model_validation_hit_rate,model_validation_note,valuation_label,model_read,data_status,price,marketCap,trailingPE,forwardPE,evToEbitda,ps,pb,revenueGrowth,grossMargins,ebitdaMargins,profitMargins,six_month_return,benchmark_return,source_url
TW,3661,3661.TW,世芯-KY,TW,TWD,ASIC design / IP服務,ASIC design / IP服務,AI ASIC turnkey；ASIC design,ASIC design / IP服務,ASIC design / IP服務,已獲利成長 / 專案型高波動,已獲利成長 / 專案型高波動,高,"Forward PE, PEG/implied CAGR, EV/EBITDA","Forward PE, PEG/implied CAGR, EV/EBITDA",Forward PE,Peer Relative Z,medium,partial_history,20,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 60.2 / PB 7.81；隱含CAGR 37.6%，目前CAGR -13.8%。臺股頁保留 sealed-test 與 overfit 警示。,complete,4135.0,337000000000,60.2,,,,7.81,,,,,0.232489,0.40528,https://www.wantgoo.com/stock/3661
TW,3443,3443.TW,創意,TW,TWD,ASIC design / IP服務,ASIC design / IP服務,AI ASIC turnkey；ASIC design,ASIC design / IP服務,ASIC design / IP服務,已獲利成長 / 專案型高波動,已獲利成長 / 專案型高波動,高,"Forward PE, PEG/implied CAGR, EV/EBITDA","Forward PE, PEG/implied CAGR, EV/EBITDA",Forward PE,Peer Relative Z,medium,partial_history,20,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 151.4 / PB 44.21；隱含CAGR 66.1%，目前CAGR 9.2%。臺股頁保留 sealed-test 與 overfit 警示。,complete,4260.0,570840000000,151.4,,,,44.21,0.671267,,,,1.958333,0.40528,https://www.wantgoo.com/stock/3443
TW,2454,2454.TW,聯發科,TW,TWD,ASIC design / IP服務,ASIC design / IP服務,邊緣 AI / 客製晶片,ASIC design / IP服務,ASIC design / IP服務,已獲利成長 / 專案型高波動,已獲利成長 / 專案型高波動,高,"Forward PE, PEG/implied CAGR, EV/EBITDA","Forward PE, PEG/implied CAGR, EV/EBITDA",Forward PE,Peer Relative Z,medium,partial_history,20,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 39.7 / PB 10.45；隱含CAGR 26.3%，目前CAGR -0.9%。臺股頁保留 sealed-test 與 overfit 警示。,complete,2610.0,4186180000000.000488,39.7,,,,10.45,-0.036267,,,,0.992366,0.40528,https://www.wantgoo.com/stock/2454
TW,2379,2379.TW,瑞昱,TW,TWD,ASIC design / IP服務,ASIC design / IP服務,邊緣 AI / 客製晶片,ASIC design / IP服務,ASIC design / IP服務,已獲利成長 / 專案型高波動,已獲利成長 / 專案型高波動,高,"Forward PE, PEG/implied CAGR, EV/EBITDA","Forward PE, PEG/implied CAGR, EV/EBITDA",Forward PE,Peer Relative Z,medium,partial_history,20,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,偏熱,TTM PE 18.8 / PB 5.3；隱含CAGR 8.0%，目前CAGR -4.4%。臺股頁保留 sealed-test 與 overfit 警示。,complete,537.0,276820000000,18.8,,,,5.3,0.0382,,,,0.048828,0.40528,https://www.wantgoo.com/stock/2379
TW,2330,2330.TW,台積電,TW,TWD,Foundry / 先進封裝,Foundry / 先進封裝,先進晶圓代工；CoWoS / SoIC；Foundry；Advanced packaging,Foundry / 先進封裝,Foundry / 先進封裝,成熟複利 + AI成長,成熟複利 + AI成長,中高,"EV/EBITDA, normalized PE, utilization/ROIC","EV/EBITDA, normalized PE, utilization/ROIC",Forward PE,Own History Percentile,low,low_sample_fallback,10,0.4,0.1,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 32.2 / PB 10.22；隱含CAGR 18.5%，目前CAGR 46.9%。臺股頁保留 sealed-test 與 overfit 警示。,complete,2135.0,55365890000000,32.2,,,,10.22,0.347233,,,,0.418605,0.40528,https://www.wantgoo.com/stock/2330
TW,2303,2303.TW,聯電,TW,TWD,Foundry / 先進封裝,Foundry / 先進封裝,先進晶圓代工；Foundry,Foundry / 先進封裝,Foundry / 先進封裝,成熟複利 + AI成長,成熟複利 + AI成長,中高,"EV/EBITDA, normalized PE, utilization/ROIC","EV/EBITDA, normalized PE, utilization/ROIC",Forward PE,Own History Percentile,low,low_sample_fallback,10,0.4,0.1,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 23.3 / PB 2.39；隱含CAGR 10.8%，目前CAGR -12.1%。臺股頁保留 sealed-test 與 overfit 警示。,complete,77.3,972320000000.000122,23.3,,,,2.39,0.0551,,,,0.685932,0.40528,https://www.wantgoo.com/stock/2303
TW,3711,3711.TW,日月光投控,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,CoWoS / SoIC；OSAT / advanced packaging；Advanced packaging,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,已獲利成長 + 資本密集,中高,"EV/EBITDA, normalized PE, utilization/ROIC","EV/EBITDA, normalized PE, utilization/ROIC",PEG/implied CAGR,Forward PE,medium,partial_history,35,0.542857,0.428571,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 52.4 / PB 6.08；隱含CAGR 38.3%，目前CAGR 24.2%。臺股頁保留 sealed-test 與 overfit 警示。,complete,478.0,2132259999999.999756,52.4,,,,6.08,0.1725,,,,1.124444,0.40528,https://www.wantgoo.com/stock/3711
TW,6239,6239.TW,力成,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,OSAT / advanced packaging,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,已獲利成長 + 資本密集,中高,"EV/EBITDA, normalized PE, utilization/ROIC","EV/EBITDA, normalized PE, utilization/ROIC",PEG/implied CAGR,Forward PE,medium,partial_history,35,0.542857,0.428571,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 27.8 / PB 2.74；隱含CAGR 21.3%，目前CAGR -18.4%。臺股頁保留 sealed-test 與 overfit 警示。,complete,203.0,154100000000,27.8,,,,2.74,0.376067,,,,0.146893,0.40528,https://www.wantgoo.com/stock/6239
TW,2449,2449.TW,京元電子,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,晶片測試服務；Wafer probe / specialty test；Test,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,已獲利成長 + 資本密集,中高,"EV/EBITDA, normalized PE, utilization/ROIC","EV/EBITDA, normalized PE, utilization/ROIC",PEG/implied CAGR,Forward PE,medium,partial_history,35,0.542857,0.428571,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 33.6 / PB 7.33；隱含CAGR 26.2%，目前CAGR 41.6%。臺股頁保留 sealed-test 與 overfit 警示。,complete,302.5,369870000000,33.6,,,,7.33,0.394567,,,,0.490148,0.40528,https://www.wantgoo.com/stock/2449
TW,6257,6257.TW,矽格,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,晶片測試服務；Test,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,已獲利成長 + 資本密集,中高,"EV/EBITDA, normalized PE, utilization/ROIC","EV/EBITDA, normalized PE, utilization/ROIC",PEG/implied CAGR,Forward PE,medium,partial_history,35,0.542857,0.428571,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 29.5 / PB 4.0；隱含CAGR 22.8%，目前CAGR 6.9%。臺股頁保留 sealed-test 與 overfit 警示。,complete,180.0,87100000000,29.5,,,,4.0,0.1289,,,,0.846154,0.40528,https://www.wantgoo.com/stock/6257
TW,3264,3264.TW,欣銓,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,Wafer probe / specialty test,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,已獲利成長 + 資本密集,中高,"EV/EBITDA, normalized PE, utilization/ROIC","EV/EBITDA, normalized PE, utilization/ROIC",PEG/implied CAGR,Forward PE,medium,partial_history,35,0.542857,0.428571,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 33.7 / PB 4.97；隱含CAGR 26.2%，目前CAGR 35.2%。臺股頁保留 sealed-test 與 overfit 警示。,complete,195.0,95590000000,33.7,,,,4.97,0.239167,,,,1.205882,0.40528,https://www.wantgoo.com/stock/3264
TW,2360,2360.TW,致茂,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,測試設備 / 介面；Test interface,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,已獲利成長 + 資本密集,中高,"EV/EBITDA, normalized PE, utilization/ROIC","EV/EBITDA, normalized PE, utilization/ROIC",PEG/implied CAGR,Forward PE,medium,partial_history,35,0.542857,0.428571,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 77.1 / PB 28.26；隱含CAGR 49.8%，目前CAGR 123.5%。臺股頁保留 sealed-test 與 overfit 警示。,complete,2120.0,901420000000.000122,77.1,,,,28.26,0.738733,,,,1.636816,0.40528,https://www.wantgoo.com/stock/2360
TW,6223,6223.TW,旺矽,TW,TWD,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,測試設備 / 介面；Test interface,封測 / 測試 / 測試介面,封測 / 測試 / 測試介面,已獲利成長 + 資本密集,已獲利成長 + 資本密集,中高,"EV/EBITDA, normalized PE, utilization/ROIC","EV/EBITDA, normalized PE, utilization/ROIC",PEG/implied CAGR,Forward PE,medium,partial_history,35,0.542857,0.428571,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 151.9 / PB 30.63；隱含CAGR 72.0%，目前CAGR 33.1%。臺股頁保留 sealed-test 與 overfit 警示。,complete,4925.0,482650000000,151.9,,,,30.63,0.390633,,,,1.456359,0.40528,https://www.wantgoo.com/stock/6223
TW,3037,3037.TW,欣興,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,ABF 載板；ABF substrate,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,景氣循環 + AI規格升級,中高,"Mid-cycle PB, normalized EBITDA","Mid-cycle PB, normalized EBITDA",PB,Forward PE,medium,partial_history,50,0.34,0.42,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 210.4 / PB 12.38；隱含CAGR 91.7%，目前CAGR 26.6%。臺股頁保留 sealed-test 與 overfit 警示。,complete,883.0,1403880000000,210.4,,,,12.38,0.246333,,,,4.51875,0.40528,https://www.wantgoo.com/stock/3037
TW,8046,8046.TW,南電,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,ABF 載板；ABF substrate,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,景氣循環 + AI規格升級,中高,"Mid-cycle PB, normalized EBITDA","Mid-cycle PB, normalized EBITDA",PB,Forward PE,medium,partial_history,50,0.34,0.42,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 333.6 / PB 14.08；隱含CAGR 110.5%，目前CAGR 869.1%。臺股頁保留 sealed-test 與 overfit 警示。,complete,1005.0,649430000000,333.6,,,,14.08,0.322833,,,,2.56383,0.40528,https://www.wantgoo.com/stock/8046
TW,3189,3189.TW,景碩,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,IC 載板第二梯隊,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,景氣循環 + AI規格升級,中高,"Mid-cycle PB, normalized EBITDA","Mid-cycle PB, normalized EBITDA",PB,Forward PE,medium,partial_history,50,0.34,0.42,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 174.3 / PB 6.49；隱含CAGR 84.5%，目前CAGR 2788.4%。臺股頁保留 sealed-test 與 overfit 警示。,complete,528.0,278150000000,174.3,,,,6.49,0.299933,,,,2.84,0.40528,https://www.wantgoo.com/stock/3189
TW,4958,4958.TW,臻鼎-KY,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,IC 載板第二梯隊,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,景氣循環 + AI規格升級,中高,"Mid-cycle PB, normalized EBITDA","Mid-cycle PB, normalized EBITDA",PB,Forward PE,medium,partial_history,50,0.34,0.42,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 66.4 / PB 3.64；隱含CAGR 51.4%，目前CAGR -34.0%。臺股頁保留 sealed-test 與 overfit 警示。,complete,421.0,450720000000,66.4,,,,3.64,,,,,1.536145,0.40528,https://www.wantgoo.com/stock/4958
TW,2368,2368.TW,金像電,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,AI server PCB,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,景氣循環 + AI規格升級,高,"Mid-cycle PB, normalized EBITDA","Mid-cycle PB, normalized EBITDA",PB,Forward PE,medium,partial_history,50,0.34,0.42,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 75.1 / PB 20.67；隱含CAGR 55.3%，目前CAGR 62.2%。臺股頁保留 sealed-test 與 overfit 警示。,complete,1390.0,721830000000,75.1,,,,20.67,0.6186,,,,2.282172,0.40528,https://www.wantgoo.com/stock/2368
TW,3044,3044.TW,健鼎,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,AI server PCB,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,景氣循環 + AI規格升級,高,"Mid-cycle PB, normalized EBITDA","Mid-cycle PB, normalized EBITDA",PB,Forward PE,medium,partial_history,50,0.34,0.42,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,偏熱,TTM PE 23.1 / PB 4.36；隱含CAGR 21.5%，目前CAGR 22.0%。臺股頁保留 sealed-test 與 overfit 警示。,complete,448.5,235730000000.000031,23.1,,,,4.36,0.2201,,,,0.319118,0.40528,https://www.wantgoo.com/stock/3044
TW,2383,2383.TW,台光電,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,高速 CCL；CCL,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,景氣循環 + AI規格升級,中高,"Mid-cycle PB, normalized EBITDA","Mid-cycle PB, normalized EBITDA",PB,Forward PE,medium,partial_history,50,0.34,0.42,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 111.2 / PB 32.28；隱含CAGR 68.3%，目前CAGR 48.2%。臺股頁保留 sealed-test 與 overfit 警示。,complete,4545.0,1628470000000,111.2,,,,32.28,0.5237,,,,2.564706,0.40528,https://www.wantgoo.com/stock/2383
TW,6274,6274.TW,台燿,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,高速 CCL；CCL,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,景氣循環 + AI規格升級,中高,"Mid-cycle PB, normalized EBITDA","Mid-cycle PB, normalized EBITDA",PB,Forward PE,medium,partial_history,50,0.34,0.42,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 86.3 / PB 16.27；隱含CAGR 59.8%，目前CAGR 24.2%。臺股頁保留 sealed-test 與 overfit 警示。,complete,1010.0,294310000000,86.3,,,,16.27,0.581433,,,,1.759563,0.40528,https://www.wantgoo.com/stock/6274
TW,6213,6213.TW,聯茂,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,CCL 第二梯隊,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,景氣循環 + AI規格升級,中高,"Mid-cycle PB, normalized EBITDA","Mid-cycle PB, normalized EBITDA",PB,Forward PE,medium,partial_history,50,0.34,0.42,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 65.0 / PB 4.65；隱含CAGR 50.7%，目前CAGR 84.2%。臺股頁保留 sealed-test 與 overfit 警示。,complete,270.0,98120000000,65.0,,,,4.65,0.2166,,,,1.288136,0.40528,https://www.wantgoo.com/stock/6213
TW,4939,4939.TW,亞電,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,CCL 第二梯隊,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,景氣循環 + AI規格升級,中高,"Mid-cycle PB, normalized EBITDA","Mid-cycle PB, normalized EBITDA",PB,Forward PE,medium,partial_history,50,0.34,0.42,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,資料不足,TTM PE NA / PB NA；隱含CAGR NA，目前CAGR NA。臺股頁保留 sealed-test 與 overfit 警示。,missing,,,,,,,,,,,,,,https://www.wantgoo.com/stock/4939
TW,8358,8358.TW,金居,TW,TWD,PCB / CCL / 載板材料,PCB / CCL / 載板材料,銅箔 / 相關材料,PCB / CCL / 載板材料,PCB / CCL / 載板材料,景氣循環 + AI規格升級,景氣循環 + AI規格升級,中高,"Mid-cycle PB, normalized EBITDA","Mid-cycle PB, normalized EBITDA",PB,Forward PE,medium,partial_history,50,0.34,0.42,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 92.4 / PB 13.07；隱含CAGR 62.0%，目前CAGR 15.0%。臺股頁保留 sealed-test 與 overfit 警示。,complete,388.5,98140000000,92.4,,,,13.07,0.466167,,,,0.742152,0.40528,https://www.wantgoo.com/stock/8358
TW,2317,2317.TW,鴻海,TW,TWD,AI server ODM / Rack integration,AI server ODM / Rack integration,AI server / rack ODM；系統整合 / 建置；AI server ODM/OEM,AI server ODM / Rack integration,AI server ODM / Rack integration,已獲利成長 + 低毛利代工,已獲利成長 + 低毛利代工,高,"EV/EBITDA, EV/EBIT, FCF conversion","EV/EBITDA, EV/EBIT, FCF conversion",Forward PE,Peer Relative Z,medium,partial_history,45,0.422222,0.666667,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,合理反映,TTM PE 16.2 / PB 1.73；隱含CAGR 12.6%，目前CAGR 23.3%。臺股頁保留 sealed-test 與 overfit 警示。,complete,219.5,3073750000000,16.2,,,,1.73,0.297133,,,,-0.162214,0.40528,https://www.wantgoo.com/stock/2317
TW,2382,2382.TW,廣達,TW,TWD,AI server ODM / Rack integration,AI server ODM / Rack integration,AI server / rack ODM；Hyperscale server ODM；系統整合 / 建置；AI server ODM/OEM,AI server ODM / Rack integration,AI server ODM / Rack integration,已獲利成長 + 低毛利代工,已獲利成長 + 低毛利代工,高,"EV/EBITDA, EV/EBIT, FCF conversion","EV/EBITDA, EV/EBIT, FCF conversion",Forward PE,Peer Relative Z,medium,partial_history,45,0.422222,0.666667,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,合理反映,TTM PE 16.1 / PB 4.96；隱含CAGR 12.5%，目前CAGR 25.5%。臺股頁保留 sealed-test 與 overfit 警示。,complete,312.5,1207060000000,16.1,,,,4.96,0.645067,,,,0.021242,0.40528,https://www.wantgoo.com/stock/2382
TW,6669,6669.TW,緯穎,TW,TWD,AI server ODM / Rack integration,AI server ODM / Rack integration,Hyperscale server ODM；純 data center ODM；Hyperscale ODM,AI server ODM / Rack integration,AI server ODM / Rack integration,已獲利成長 + 低毛利代工,已獲利成長 + 低毛利代工,高,"EV/EBITDA, EV/EBIT, FCF conversion","EV/EBITDA, EV/EBIT, FCF conversion",Forward PE,Peer Relative Z,medium,partial_history,45,0.422222,0.666667,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,合理反映,TTM PE 17.0 / PB 6.97；隱含CAGR 9.3%，目前CAGR 124.8%。臺股頁保留 sealed-test 與 overfit 警示。,complete,4675.0,868620000000.000122,17.0,,,,6.97,0.7973,,,,0.087209,0.40528,https://www.wantgoo.com/stock/6669
TW,3231,3231.TW,緯創,TW,TWD,AI server ODM / Rack integration,AI server ODM / Rack integration,NVIDIA / CSP server；Hyperscale ODM,AI server ODM / Rack integration,AI server ODM / Rack integration,已獲利成長 + 低毛利代工,已獲利成長 + 低毛利代工,高,"EV/EBITDA, EV/EBIT, FCF conversion","EV/EBITDA, EV/EBIT, FCF conversion",Forward PE,Peer Relative Z,medium,partial_history,45,0.422222,0.666667,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,合理反映,TTM PE 15.9 / PB 2.45；隱含CAGR 12.2%，目前CAGR 43.2%。臺股頁保留 sealed-test 與 overfit 警示。,complete,137.0,435710000000.000061,15.9,,,,2.45,1.488633,,,,-0.116129,0.40528,https://www.wantgoo.com/stock/3231
TW,2356,2356.TW,英業達,TW,TWD,AI server ODM / Rack integration,AI server ODM / Rack integration,NVIDIA / CSP server,AI server ODM / Rack integration,AI server ODM / Rack integration,已獲利成長 + 低毛利代工,已獲利成長 + 低毛利代工,高,"EV/EBITDA, EV/EBIT, FCF conversion","EV/EBITDA, EV/EBIT, FCF conversion",Forward PE,Peer Relative Z,medium,partial_history,45,0.422222,0.666667,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,偏熱,TTM PE 18.9 / PB 2.16；隱含CAGR 16.4%，目前CAGR 20.1%。臺股頁保留 sealed-test 與 overfit 警示。,complete,45.9,164670000000,18.9,,,,2.16,0.2684,,,,-0.017131,0.40528,https://www.wantgoo.com/stock/2356
TW,3706,3706.TW,神達,TW,TWD,AI server ODM / Rack integration,AI server ODM / Rack integration,純 data center ODM,AI server ODM / Rack integration,AI server ODM / Rack integration,已獲利成長 + 低毛利代工,已獲利成長 + 低毛利代工,高,"EV/EBITDA, EV/EBIT, FCF conversion","EV/EBITDA, EV/EBIT, FCF conversion",Forward PE,Peer Relative Z,medium,partial_history,45,0.422222,0.666667,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,合理反映,TTM PE 15.8 / PB 1.58；隱含CAGR 12.0%，目前CAGR 57.8%。臺股頁保留 sealed-test 與 overfit 警示。,complete,81.4,108030000000,15.8,,,,1.58,0.3428,,,,-0.173604,0.40528,https://www.wantgoo.com/stock/3706
