region,ticker,display_ticker,company,exchange,currency,category,supply_chain_category,role,industry_class,industry_model_class,stage,lifecycle_stage,revenue_purity,valuation_models,valuation_basis,selected_model,fallback_model,model_confidence,coverage_status,model_validation_signal_count,model_validation_convergence_rate,model_validation_hit_rate,model_validation_note,valuation_label,model_read,data_status,price,marketCap,trailingPE,forwardPE,evToEbitda,ps,pb,revenueGrowth,grossMargins,ebitdaMargins,profitMargins,six_month_return,benchmark_return,source_url
TW,2376,2376.TW,技嘉,TW,TWD,AI server ODM / Rack integration,AI server ODM / Rack integration,Enterprise AI server brand,AI server ODM / Rack integration,AI server ODM / Rack integration,已獲利成長 + 低毛利代工,已獲利成長 + 低毛利代工,高,"EV/EBITDA, EV/EBIT, FCF conversion","EV/EBITDA, EV/EBIT, FCF conversion",Forward PE,Peer Relative Z,medium,partial_history,45,0.422222,0.666667,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,合理反映,TTM PE 15.0 / PB 3.09；隱含CAGR 10.8%，目前CAGR 25.1%。臺股頁保留 sealed-test 與 overfit 警示。,complete,273.0,182880000000,15.0,,,,3.09,0.597467,,,,-0.030195,0.40528,https://www.wantgoo.com/stock/2376
TW,2357,2357.TW,華碩,TW,TWD,AI server ODM / Rack integration,AI server ODM / Rack integration,Enterprise AI server brand,AI server ODM / Rack integration,AI server ODM / Rack integration,已獲利成長 + 低毛利代工,已獲利成長 + 低毛利代工,高,"EV/EBITDA, EV/EBIT, FCF conversion","EV/EBITDA, EV/EBIT, FCF conversion",Forward PE,Peer Relative Z,medium,partial_history,45,0.422222,0.666667,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,合理反映,TTM PE 9.7 / PB 1.61；隱含CAGR 0.8%，目前CAGR 42.4%。臺股頁保留 sealed-test 與 overfit 警示。,complete,581.0,431570000000,9.7,,,,1.61,0.443067,,,,-0.180536,0.40528,https://www.wantgoo.com/stock/2357
TW,3515,3515.TW,華擎,TW,TWD,AI server ODM / Rack integration,AI server ODM / Rack integration,Server board / rack brand,AI server ODM / Rack integration,AI server ODM / Rack integration,已獲利成長 + 低毛利代工,已獲利成長 + 低毛利代工,高,"EV/EBITDA, EV/EBIT, FCF conversion","EV/EBITDA, EV/EBIT, FCF conversion",Forward PE,Peer Relative Z,medium,partial_history,45,0.422222,0.666667,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,合理反映,TTM PE 15.4 / PB 2.43；隱含CAGR 11.4%，目前CAGR 46.9%。臺股頁保留 sealed-test 與 overfit 警示。,complete,235.5,29080000000,15.4,,,,2.43,0.219867,,,,-0.285281,0.40528,https://www.wantgoo.com/stock/3515
TW,3693,3693.TW,營邦,TW,TWD,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,Server board / rack brand；機殼 / rack thermal；資料中心機櫃 / chassis,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",Forward PE,Peer Relative Z,medium,partial_history,40,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 43.1 / PB 5.51；隱含CAGR 32.8%，目前CAGR -38.9%。臺股頁保留 sealed-test 與 overfit 警示。,complete,668.0,28720000000,43.1,,,,5.51,-0.3744,,,,0.802969,0.40528,https://www.wantgoo.com/stock/3693
TW,2308,2308.TW,台達電,TW,TWD,電源 / 資料中心供電,電源 / 資料中心供電,Data center power；AI server PSU / power shelf；UPS / power infra；Power components；CDU / rack cooling；Management switch / rack network；Busbar / power interconnect；Power,電源 / 資料中心供電,電源 / 資料中心供電,成熟複利 + AI電力升級,成熟複利 + AI電力升級,高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",PB,Forward PE,medium,partial_history,35,0.342857,0.457143,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 93.6 / PB 20.98；隱含CAGR 50.6%，目前CAGR 71.1%。臺股頁保留 sealed-test 與 overfit 警示。,complete,2165.0,5623590000000,93.6,,,,20.98,0.3382,,,,1.143564,0.40528,https://www.wantgoo.com/stock/2308
TW,2301,2301.TW,光寶科,TW,TWD,電源 / 資料中心供電,電源 / 資料中心供電,Data center power；AI server PSU / power shelf；Server power supply；CDU / rack cooling；Power,電源 / 資料中心供電,電源 / 資料中心供電,成熟複利 + AI電力升級,成熟複利 + AI電力升級,高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",PB,Forward PE,medium,partial_history,35,0.342857,0.457143,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 25.4 / PB 4.36；隱含CAGR 15.1%，目前CAGR 28.3%。臺股頁保留 sealed-test 與 overfit 警示。,complete,166.0,384470000000,25.4,,,,4.36,0.1899,,,,-0.082873,0.40528,https://www.wantgoo.com/stock/2301
TW,6412,6412.TW,群電,TW,TWD,電源 / 資料中心供電,電源 / 資料中心供電,Server power supply,電源 / 資料中心供電,電源 / 資料中心供電,成熟複利 + AI電力升級,成熟複利 + AI電力升級,中高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",PB,Forward PE,medium,partial_history,35,0.342857,0.457143,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 15.6 / PB 2.13；隱含CAGR 3.8%，目前CAGR -37.8%。臺股頁保留 sealed-test 與 overfit 警示。,complete,81.0,32460000000.000004,15.6,,,,2.13,-0.078867,,,,-0.130901,0.40528,https://www.wantgoo.com/stock/6412
TW,1514,1514.TW,亞力,TW,TWD,電源 / 資料中心供電,電源 / 資料中心供電,UPS / power infra；機電工程,電源 / 資料中心供電,電源 / 資料中心供電,成熟複利 + AI電力升級,成熟複利 + AI電力升級,中高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",PB,Forward PE,medium,partial_history,35,0.342857,0.457143,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 33.6 / PB 4.74；隱含CAGR 22.0%，目前CAGR 9.6%。臺股頁保留 sealed-test 與 overfit 警示。,complete,110.0,30039999999.999996,33.6,,,,4.74,0.289367,,,,0.094527,0.40528,https://www.wantgoo.com/stock/1514
TW,6282,6282.TW,康舒,TW,TWD,電源 / 資料中心供電,電源 / 資料中心供電,Power components,電源 / 資料中心供電,電源 / 資料中心供電,成熟複利 + AI電力升級,成熟複利 + AI電力升級,中高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",PB,Forward PE,medium,partial_history,35,0.342857,0.457143,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 265.3 / PB 1.79；隱含CAGR 86.1%，目前CAGR 2541.2%。臺股頁保留 sealed-test 與 overfit 警示。,complete,47.35,40530000000,265.3,,,,1.79,0.204767,,,,0.022678,0.40528,https://www.wantgoo.com/stock/6282
TW,3017,3017.TW,奇鋐,TW,TWD,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,液冷 cold plate / module；Cooling,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",Forward PE,Peer Relative Z,medium,partial_history,40,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 58.0 / PB 24.62；隱含CAGR 41.3%，目前CAGR 133.6%。臺股頁保留 sealed-test 與 overfit 警示。,complete,2835.0,1111890000000,58.0,,,,24.62,1.121533,,,,1.010638,0.40528,https://www.wantgoo.com/stock/3017
TW,3324,3324.TW,雙鴻,TW,TWD,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,液冷 cold plate / module；Cooling,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",Forward PE,Peer Relative Z,medium,partial_history,40,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 41.1 / PB 9.54；隱含CAGR 31.5%，目前CAGR 34.6%。臺股頁保留 sealed-test 與 overfit 警示。,complete,1140.0,105790000000.000015,41.1,,,,9.54,0.934133,,,,0.112195,0.40528,https://www.wantgoo.com/stock/3324
TW,2421,2421.TW,建準,TW,TWD,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,Fan / thermal module,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",Forward PE,Peer Relative Z,medium,partial_history,40,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,偏熱,TTM PE 19.2 / PB 3.93；隱含CAGR 12.2%，目前CAGR 38.6%。臺股頁保留 sealed-test 與 overfit 警示。,complete,145.0,41600000000,19.2,,,,3.93,0.204233,,,,-0.02027,0.40528,https://www.wantgoo.com/stock/2421
TW,6591,6591.TW,動力-KY,TW,TWD,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,Fan / thermal module,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",Forward PE,Peer Relative Z,medium,partial_history,40,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,合理反映,TTM PE 11.2 / PB 1.04；隱含CAGR -0.0%，目前CAGR 61.4%。臺股頁保留 sealed-test 與 overfit 警示。,complete,57.0,2340000000,11.2,,,,1.04,,,,,-0.275731,0.40528,https://www.wantgoo.com/stock/6591
TW,3653,3653.TW,健策,TW,TWD,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,機構 / 散熱件,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",Forward PE,Peer Relative Z,medium,partial_history,40,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 149.6 / PB 34.56；隱含CAGR 71.5%，目前CAGR 50.3%。臺股頁保留 sealed-test 與 overfit 警示。,complete,5380.0,789250000000,149.6,,,,34.56,0.112367,,,,1.508159,0.40528,https://www.wantgoo.com/stock/3653
TW,6805,6805.TW,富世達,TW,TWD,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,機構 / 散熱件,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",Forward PE,Peer Relative Z,medium,partial_history,40,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 66.8 / PB 19.74；隱含CAGR 45.4%，目前CAGR 74.0%。臺股頁保留 sealed-test 與 overfit 警示。,complete,2070.0,142000000000,66.8,,,,19.74,0.873,,,,0.452632,0.40528,https://www.wantgoo.com/stock/6805
TW,8210,8210.TW,勤誠,TW,TWD,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,機殼 / rack thermal；資料中心機櫃 / chassis,散熱 / 液冷 / 機構件,散熱 / 液冷 / 機構件,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",Forward PE,Peer Relative Z,medium,partial_history,40,0.4,0.3,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 39.8 / PB 13.01；隱含CAGR 30.7%，目前CAGR 77.9%。臺股頁保留 sealed-test 與 overfit 警示。,complete,1130.0,141590000000,39.8,,,,13.01,0.771167,,,,0.230937,0.40528,https://www.wantgoo.com/stock/8210
TW,2345,2345.TW,智邦,TW,TWD,交換機 / 網通 / AI fabric,交換機 / 網通 / AI fabric,Data center switch ODM；Open networking / white box；Management switch / rack network；Switch,交換機 / 網通 / AI fabric,交換機 / 網通 / AI fabric,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, PB, EV/EBITDA peer/history blend","PE, PB, EV/EBITDA peer/history blend",Forward PE,PEG/implied CAGR,medium,partial_history,25,0.32,0.28,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 48.6 / PB 22.23；隱含CAGR 36.2%，目前CAGR 120.1%。臺股頁保留 sealed-test 與 overfit 警示。,complete,2280.0,1279310000000,48.6,,,,22.23,0.663267,,,,1.235294,0.40528,https://www.wantgoo.com/stock/2345
TW,3380,3380.TW,明泰,TW,TWD,交換機 / 網通 / AI fabric,交換機 / 網通 / AI fabric,Data center switch ODM；Switch,交換機 / 網通 / AI fabric,交換機 / 網通 / AI fabric,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, PB, EV/EBITDA peer/history blend","PE, PB, EV/EBITDA peer/history blend",Forward PE,PEG/implied CAGR,medium,partial_history,25,0.32,0.28,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,資料不足,TTM PE NA / PB NA；隱含CAGR NA，目前CAGR NA。臺股頁保留 sealed-test 與 overfit 警示。,missing,,,,,,,,,,,,,,https://www.wantgoo.com/stock/3380
TW,2332,2332.TW,UfiSpace / 友訊投控關聯,TW,TWD,交換機 / 網通 / AI fabric,交換機 / 網通 / AI fabric,Open networking / white box,交換機 / 網通 / AI fabric,交換機 / 網通 / AI fabric,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, PB, EV/EBITDA peer/history blend","PE, PB, EV/EBITDA peer/history blend",Forward PE,PEG/implied CAGR,medium,partial_history,25,0.32,0.28,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,資料不足,TTM PE NA / PB NA；隱含CAGR NA，目前CAGR NA。臺股頁保留 sealed-test 與 overfit 警示。,missing,,,,,,,,,,,,,,https://www.wantgoo.com/stock/2332
TW,6285,6285.TW,啟碁,TW,TWD,交換機 / 網通 / AI fabric,交換機 / 網通 / AI fabric,Enterprise / telecom networking,交換機 / 網通 / AI fabric,交換機 / 網通 / AI fabric,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, PB, EV/EBITDA peer/history blend","PE, PB, EV/EBITDA peer/history blend",Forward PE,PEG/implied CAGR,medium,partial_history,25,0.32,0.28,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 34.1 / PB 2.99；隱含CAGR 26.5%，目前CAGR -11.1%。臺股頁保留 sealed-test 與 overfit 警示。,complete,216.0,104480000000,34.1,,,,2.99,0.0261,,,,0.714286,0.40528,https://www.wantgoo.com/stock/6285
TW,5388,5388.TW,中磊,TW,TWD,交換機 / 網通 / AI fabric,交換機 / 網通 / AI fabric,Enterprise / telecom networking,交換機 / 網通 / AI fabric,交換機 / 網通 / AI fabric,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, PB, EV/EBITDA peer/history blend","PE, PB, EV/EBITDA peer/history blend",Forward PE,PEG/implied CAGR,medium,partial_history,25,0.32,0.28,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 19.4 / PB 1.46；隱含CAGR 12.4%，目前CAGR -48.2%。臺股頁保留 sealed-test 與 overfit 警示。,complete,76.5,23280000000,19.4,,,,1.46,0.468633,,,,-0.226491,0.40528,https://www.wantgoo.com/stock/5388
TW,3665,3665.TW,貿聯-KY,TW,TWD,線纜 / 連接器 / 光通訊,線纜 / 連接器 / 光通訊,高速線纜 / interconnect；Busbar / power interconnect；Cable / connector,線纜 / 連接器 / 光通訊,線纜 / 連接器 / 光通訊,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, PB, EV/EBITDA peer/history blend","PE, PB, EV/EBITDA peer/history blend",PEG/implied CAGR,Forward PE,medium,partial_history,25,0.36,0.32,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 60.0 / PB 11.59；隱含CAGR 42.2%，目前CAGR 100.4%。臺股頁保留 sealed-test 與 overfit 警示。,complete,2770.0,540430000000,60.0,,,,11.59,,,,,0.978571,0.40528,https://www.wantgoo.com/stock/3665
TW,3023,3023.TW,信邦,TW,TWD,線纜 / 連接器 / 光通訊,線纜 / 連接器 / 光通訊,高速線纜 / interconnect,線纜 / 連接器 / 光通訊,線纜 / 連接器 / 光通訊,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, PB, EV/EBITDA peer/history blend","PE, PB, EV/EBITDA peer/history blend",PEG/implied CAGR,Forward PE,medium,partial_history,25,0.36,0.32,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 21.8 / PB 4.2；隱含CAGR 15.2%，目前CAGR -11.4%。臺股頁保留 sealed-test 與 overfit 警示。,complete,283.5,68070000000.000008,21.8,,,,4.2,0.012833,,,,0.343602,0.40528,https://www.wantgoo.com/stock/3023
TW,3533,3533.TW,嘉澤,TW,TWD,線纜 / 連接器 / 光通訊,線纜 / 連接器 / 光通訊,Connector；Cable / connector,線纜 / 連接器 / 光通訊,線纜 / 連接器 / 光通訊,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, PB, EV/EBITDA peer/history blend","PE, PB, EV/EBITDA peer/history blend",PEG/implied CAGR,Forward PE,medium,partial_history,25,0.36,0.32,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 37.4 / PB 7.65；隱含CAGR 29.0%，目前CAGR -15.3%。臺股頁保留 sealed-test 與 overfit 警示。,complete,2615.0,294190000000,37.4,,,,7.65,0.199733,,,,0.894928,0.40528,https://www.wantgoo.com/stock/3533
TW,3526,3526.TW,凡甲,TW,TWD,線纜 / 連接器 / 光通訊,線纜 / 連接器 / 光通訊,Connector,線纜 / 連接器 / 光通訊,線纜 / 連接器 / 光通訊,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, PB, EV/EBITDA peer/history blend","PE, PB, EV/EBITDA peer/history blend",PEG/implied CAGR,Forward PE,medium,partial_history,25,0.36,0.32,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,偏熱,TTM PE 19.7 / PB 6.07；隱含CAGR 12.8%，目前CAGR 7.2%。臺股頁保留 sealed-test 與 overfit 警示。,complete,330.0,21780000000,19.7,,,,6.07,0.1811,,,,0.346939,0.40528,https://www.wantgoo.com/stock/3526
TW,3081,3081.TW,聯亞,TW,TWD,線纜 / 連接器 / 光通訊,線纜 / 連接器 / 光通訊,光通訊模組 / optics,線纜 / 連接器 / 光通訊,線纜 / 連接器 / 光通訊,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, PB, EV/EBITDA peer/history blend","PE, PB, EV/EBITDA peer/history blend",PEG/implied CAGR,Forward PE,medium,partial_history,25,0.36,0.32,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 570.0 / PB 58.27；隱含CAGR 124.9%，目前CAGR 1653.9%。臺股頁保留 sealed-test 與 overfit 警示。,complete,2640.0,244200000000,570.0,,,,58.27,1.011833,,,,5.089965,0.40528,https://www.wantgoo.com/stock/3081
TW,3363,3363.TW,上詮,TW,TWD,線纜 / 連接器 / 光通訊,線纜 / 連接器 / 光通訊,光通訊模組 / optics,線纜 / 連接器 / 光通訊,線纜 / 連接器 / 光通訊,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, PB, EV/EBITDA peer/history blend","PE, PB, EV/EBITDA peer/history blend",PEG/implied CAGR,Forward PE,medium,partial_history,25,0.36,0.32,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 5394.5 / PB 15.3；隱含CAGR 200.0%，目前CAGR 317.9%。臺股頁保留 sealed-test 與 overfit 警示。,complete,769.0,87360000000,5394.5,,,,15.3,-0.029567,,,,1.139082,0.40528,https://www.wantgoo.com/stock/3363
TW,4979,4979.TW,華星光,TW,TWD,交換機 / 網通 / AI fabric,交換機 / 網通 / AI fabric,光收發 / networking components,交換機 / 網通 / AI fabric,交換機 / 網通 / AI fabric,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, PB, EV/EBITDA peer/history blend","PE, PB, EV/EBITDA peer/history blend",Forward PE,PEG/implied CAGR,medium,partial_history,25,0.32,0.28,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 113.5 / PB 20.98；隱含CAGR 62.1%，目前CAGR 42.1%。臺股頁保留 sealed-test 與 overfit 警示。,complete,609.0,86720000000,113.5,,,,20.98,0.123467,,,,2.029851,0.40528,https://www.wantgoo.com/stock/4979
TW,6442,6442.TW,光聖,TW,TWD,交換機 / 網通 / AI fabric,交換機 / 網通 / AI fabric,光收發 / networking components,交換機 / 網通 / AI fabric,交換機 / 網通 / AI fabric,已獲利成長 + 規格升級,已獲利成長 + 規格升級,高,"PE, PB, EV/EBITDA peer/history blend","PE, PB, EV/EBITDA peer/history blend",Forward PE,PEG/implied CAGR,medium,partial_history,25,0.32,0.28,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 93.6 / PB 23.6；隱含CAGR 55.8%，目前CAGR 62.5%。臺股頁保留 sealed-test 與 overfit 警示。,complete,2110.0,166480000000,93.6,,,,23.6,0.3789,,,,1.23754,0.40528,https://www.wantgoo.com/stock/6442
TW,1503,1503.TW,士電,TW,TWD,電源 / 資料中心供電,電源 / 資料中心供電,電力工程 / 重電；Data center power infra,電源 / 資料中心供電,電源 / 資料中心供電,成熟複利 + AI電力升級,成熟複利 + AI電力升級,中高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",PB,Forward PE,medium,partial_history,35,0.342857,0.457143,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,過熱,TTM PE 30.2 / PB 2.72；隱含CAGR 19.3%，目前CAGR 8.3%。臺股頁保留 sealed-test 與 overfit 警示。,complete,189.5,98730000000,30.2,,,,2.72,0.127567,,,,0.044077,0.40528,https://www.wantgoo.com/stock/1503
TW,1519,1519.TW,華城,TW,TWD,電源 / 資料中心供電,電源 / 資料中心供電,電力工程 / 重電；Data center power infra,電源 / 資料中心供電,電源 / 資料中心供電,成熟複利 + AI電力升級,成熟複利 + AI電力升級,中高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",PB,Forward PE,medium,partial_history,35,0.342857,0.457143,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,極度過熱 / priced for perfection,TTM PE 63.5 / PB 26.51；隱含CAGR 39.1%，目前CAGR -6.4%。臺股頁保留 sealed-test 與 overfit 警示。,complete,888.0,280520000000,63.5,,,,26.51,0.085533,,,,0.366154,0.40528,https://www.wantgoo.com/stock/1519
TW,1513,1513.TW,中興電,TW,TWD,電源 / 資料中心供電,電源 / 資料中心供電,機電工程,電源 / 資料中心供電,電源 / 資料中心供電,成熟複利 + AI電力升級,成熟複利 + AI電力升級,中高,"PE, EV/EBITDA, margin stability","PE, EV/EBITDA, margin stability",PB,Forward PE,medium,partial_history,35,0.342857,0.457143,以臺股月度 point-in-time signal 測試 126 trading day 估值 gap 收斂與 peer-relative hit rate。,偏熱,TTM PE 18.7 / PB 3.61；隱含CAGR 7.9%，目前CAGR 10.2%。臺股頁保留 sealed-test 與 overfit 警示。,complete,148.5,74710000000,18.7,,,,3.61,0.008767,,,,-0.016556,0.40528,https://www.wantgoo.com/stock/1513
