region,ticker,display_ticker,company,exchange,currency,category,supply_chain_category,role,industry_class,industry_model_class,stage,lifecycle_stage,revenue_purity,valuation_models,valuation_basis,valuation_label,model_read,data_status,price,marketCap,trailingPE,forwardPE,evToEbitda,ps,pb,revenueGrowth,grossMargins,ebitdaMargins,profitMargins,six_month_return,benchmark_return,source_url
US,AMZN,AMZN,Amazon,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,AWS，最大雲端算力需求端之一,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",合理反映,大型平台估值未單靠 AI 題材脫離基本面,complete,270.64,2911304417280.0,31.653803,27.443575,19.272,3.9194918,6.586037,0.166,0.50604,0.20984,0.12224,,,https://finance.yahoo.com/quote/AMZN
US,MSFT,MSFT,Microsoft,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,Azure，OpenAI / enterprise AI 需求核心,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",合理反映,大型平台估值未單靠 AI 題材脫離基本面,complete,450.24,3344578379776.0,26.81596,23.28298,18.388,10.508521,8.0721445,0.183,0.68309,0.57956004,0.39341998,,,https://finance.yahoo.com/quote/MSFT
US,GOOGL,GOOGL,Alphabet,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,Google Cloud / TPU / AI infrastructure,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",合理反映,大型平台估值未單靠 AI 題材脫離基本面,complete,380.34,4607987679232.0,28.989328,26.249208,28.374,10.906531,9.625449,0.218,0.60368,0.38181,0.37919,,,https://finance.yahoo.com/quote/GOOGL
US,META,META,Meta,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,大型自用 AI cluster 與 Llama 生態,軟體 / IP / 平台型,軟體 / IP / 平台型,已獲利成長,已獲利成長,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",合理反映,大型平台估值未單靠 AI 題材脫離基本面,complete,632.51,1605578129408.0,22.992002,17.490955,14.74,7.469091,6.587754,0.331,0.81941,0.5085,0.32837,,,https://finance.yahoo.com/quote/META
US,ORCL,ORCL,Oracle,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,OCI，GPU cloud 與 enterprise AI infrastructure,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",合理反映,大型平台估值未單靠 AI 題材脫離基本面,complete,225.78,649353691136.0,40.462364,28.108276,28.348,10.134117,19.353676,0.217,0.67084,0.42826,0.25298,,,https://finance.yahoo.com/quote/ORCL
US,IBM,IBM,IBM,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,Enterprise AI、hybrid cloud,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",合理反映,大型平台估值未單靠 AI 題材脫離基本面,complete,297.8,279897833472.0,26.377323,22.133545,20.348,4.0617294,8.488441,0.095,0.58358,0.24104999,0.15606,,,https://finance.yahoo.com/quote/IBM
US,CRWV,CRWV,CoreWeave,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,GPU cloud / AI compute pure play,軟體 / IP / 平台型,軟體 / IP / 平台型,轉機 / 虧轉盈,轉機 / 虧轉盈,高,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",偏熱,虧損但營收倍數已不低，需要毛利與現金流改善,complete,109.53,59756322816.0,,-174.68343,30.634,9.596327,12.24483,1.116,0.69375,0.48563,-0.25566,,,https://finance.yahoo.com/quote/CRWV
US,NBIS,NBIS,Nebius,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,AI infrastructure / GPU cloud,軟體 / IP / 平台型,軟體 / IP / 平台型,已獲利成長,已獲利成長,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",過熱,平台型公司 PE > 55x，需要 AI monetization 明確加速,complete,231.09,58673332224.0,89.22394,639.7486,-1538.899,66.833725,8.173522,6.839,0.72058,-0.04397,0.93086,,,https://finance.yahoo.com/quote/NBIS
US,APLD,APLD,Applied Digital,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,AI data center / HPC infrastructure,軟體 / IP / 平台型,軟體 / IP / 平台型,轉機 / 虧轉盈,轉機 / 虧轉盈,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",極度過熱 / priced for perfection,虧損且 PS > 20x，需要高成長與快速轉盈同時成立,complete,47.28,13511183360.0,,-49.76842,1121.499,42.320045,8.532756,1.393,0.45409,0.04355,-0.59472,,,https://finance.yahoo.com/quote/APLD
US,EQIX,EQIX,Equinix,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,Colocation / interconnection data center,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",過熱,平台型公司 PE > 55x，需要 AI monetization 明確加速,complete,1068.04,105334644736.0,74.066574,55.559574,29.736,11.057595,7.367013,0.121,0.51606,0.44951,0.14928001,,,https://finance.yahoo.com/quote/EQIX
US,DLR,DLR,Digital Realty,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,Hyperscale / colocation data center REIT,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",過熱,平台型公司 PE > 55x，需要 AI monetization 明確加速,complete,190.0,67962822656.0,50.531914,66.33754,29.95,10.763748,2.928619,0.167,0.55342996,0.4575,0.21823,,,https://finance.yahoo.com/quote/DLR
US,CORZ,CORZ,Core Scientific,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,AI/HPC hosting 與資料中心轉型,軟體 / IP / 平台型,軟體 / IP / 平台型,已獲利成長,已獲利成長,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",過熱,平台型公司 PE > 55x，需要 AI monetization 明確加速,complete,26.85,8535219712.0,,85.2381,-100.123,24.06063,-6.5169907,0.449,0.2156,-0.2727,0.0,,,https://finance.yahoo.com/quote/CORZ
US,IREN,IREN,IREN,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,AI/HPC data center 與 power-linked compute,軟體 / IP / 平台型,軟體 / IP / 平台型,轉機 / 虧轉盈,轉機 / 虧轉盈,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",極度過熱 / priced for perfection,虧損且 PS > 20x，需要高成長與快速轉盈同時成立,complete,63.54,22707843072.0,82.519485,-67.59575,166.192,29.994219,8.394769,-0.0,0.68397003,0.19440001,0.20877,,,https://finance.yahoo.com/quote/IREN
US,WULF,WULF,TeraWulf,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,Power-linked compute / HPC hosting,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",極度過熱 / priced for perfection,PS > 20x 且成長未足以吸收估值,complete,25.56,12665814016.0,,138.16216,-106.043,75.36394,76.52695,-0.011,0.64018995,-0.86137,0.0,,,https://finance.yahoo.com/quote/WULF
US,CIFR,CIFR,Cipher Mining,US,USD,1. L1 需求端 / AI 雲端 / Data Center,1. L1 需求端 / AI 雲端 / Data Center,Data center / compute infrastructure optionality,軟體 / IP / 平台型,軟體 / IP / 平台型,成熟複利,成熟複利,低到中,"EV/Sales, FCF margin, Forward PE","Forward PE, PEG/implied CAGR, EV/EBITDA",極度過熱 / priced for perfection,PS > 20x 且成長未足以吸收估值,complete,23.65,9674012672.0,,35.298508,82.808,46.10603,13.422248,-0.288,0.12375,0.79029,0.0,,,https://finance.yahoo.com/quote/CIFR
US,NVDA,NVDA,NVIDIA,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,AI GPU、rack-scale platform、networking,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,高,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,211.14,5114022068224.0,32.383434,16.681019,30.627,20.174374,32.623608,0.852,0.74144995,0.65294,0.62966,,,https://finance.yahoo.com/quote/NVDA
US,AMD,AMD,AMD,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,AI GPU、CPU、accelerator 替代供應,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中高,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",過熱,EV/EBITDA > 80x，估值需多年高成長與高 margin 同時支撐,complete,516.1,841552887808.0,172.60869,39.82394,112.123,22.468971,13.050294,0.378,0.5306,0.19838,0.13374,,,https://finance.yahoo.com/quote/AMD
US,AVGO,AVGO,Broadcom,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,Custom ASIC、switch silicon、connectivity,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中高,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,446.77,2115307700224.0,86.920235,24.227072,58.23,30.978994,26.490957,0.295,0.76725996,0.54506,0.36571997,,,https://finance.yahoo.com/quote/AVGO
US,MRVL,MRVL,Marvell,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,Custom silicon、optical DSP、data center silicon,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中高,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,complete,205.0,179334004736.0,70.44673,33.7438,66.655,20.572668,12.139516,0.276,0.51502997,0.31111,0.28986,,,https://finance.yahoo.com/quote/MRVL
US,INTC,INTC,Intel,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,CPU、foundry、accelerator、networking,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,轉機 / 虧轉盈,轉機 / 虧轉盈,中,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",過熱,虧損且 PS > 10x，估值仰賴明確轉盈路徑,complete,114.68,576381648896.0,,74.48107,42.488,10.720787,5.171123,0.072,0.372,0.26364002,-0.05904,,,https://finance.yahoo.com/quote/INTC
US,ARM,ARM,Arm,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,CPU IP、data center CPU ecosystem,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",過熱,EV/EBITDA > 80x，估值需多年高成長與高 margin 同時支撐,complete,353.29,377341575168.0,415.63528,115.63715,351.49,76.69544,45.369205,0.201,0.97541,0.2164,0.18374,,,https://finance.yahoo.com/quote/ARM
US,QCOM,QCOM,Qualcomm,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,AI inference、edge/data center optionality,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,251.02,264575090688.0,27.020452,23.6006,20.774,5.9473786,9.745322,-0.035,0.54799,0.2922,0.22308001,,,https://finance.yahoo.com/quote/QCOM
US,ALAB,ALAB,Astera Labs,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,PCIe/CXL retimer、connectivity,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,高,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",過熱,EV/EBITDA > 80x，估值需多年高成長與高 margin 同時支撐,complete,342.85,58767212544.0,233.2313,81.50114,246.908,58.682476,39.308643,0.934,0.75988996,0.23305,0.26724002,,,https://finance.yahoo.com/quote/ALAB
US,MPWR,MPWR,Monolithic Power,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,Power management IC,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",過熱,EV/EBITDA > 80x，估值需多年高成長與高 margin 同時支撐,complete,1566.21,76947898368.0,112.35366,51.932003,88.195,26.021494,20.924091,0.261,0.55175,0.28988,0.22984,,,https://finance.yahoo.com/quote/MPWR
US,ADI,ADI,Analog Devices,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,Analog / power / signal chain,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,413.85,201580969984.0,61.768658,28.013319,33.638,15.822442,5.974189,0.372,0.64491,0.48268002,0.26007998,,,https://finance.yahoo.com/quote/ADI
US,TXN,TXN,Texas Instruments,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,Analog / embedded / power IC,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,complete,305.68,278197174272.0,52.342464,32.47213,33.138,15.08825,16.579702,0.186,0.57322,0.46995,0.29108,,,https://finance.yahoo.com/quote/TXN
US,MCHP,MCHP,Microchip,US,USD,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,2. L2 AI 晶片 / ASIC / CPU / 電源 IC,MCU、timing、control、connectivity,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,已獲利成長,已獲利成長,中,"Forward PE, PEG, EV/EBITDA","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,94.65,51307806720.0,430.2273,23.13457,46.518,10.886212,7.9678426,0.351,0.57735,0.25866,0.048800003,,,https://finance.yahoo.com/quote/MCHP
US,TSM,TSM,TSMC,US,USD,3. L3 半導體製造 / 記憶體,3. L3 半導體製造 / 記憶體,先進製程晶圓代工、AI GPU/ASIC 核心,封測 / 代工 / 資本密集,封測 / 代工 / 資本密集,已獲利成長,已獲利成長,中高,"EV/EBITDA, ROIC, normalized PE","EV/EBITDA, normalized PE, utilization/ROIC",資料不足,需要利用率、折舊與 capex 後 FCF 支持,complete,418.45,2170280083456.0,35.8569,21.44058,3.012,0.52883303,64.00909,0.351,0.61873,0.69593,0.46505,,,https://finance.yahoo.com/quote/TSM
US,MU,MU,Micron,US,USD,3. L3 半導體製造 / 記憶體,3. L3 半導體製造 / 記憶體,HBM、DRAM、NAND，美系記憶體核心,封測 / 代工 / 資本密集,封測 / 代工 / 資本密集,已獲利成長,已獲利成長,中高,"EV/EBITDA, ROIC, normalized PE","EV/EBITDA, normalized PE, utilization/ROIC",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,complete,971.0,1095029751808.0,45.86679,9.222632,29.651,18.841166,15.115899,1.963,0.58437,0.63324,0.41486,,,https://finance.yahoo.com/quote/MU
US,GFS,GFS,GlobalFoundries,US,USD,3. L3 半導體製造 / 記憶體,3. L3 半導體製造 / 記憶體,Specialty foundry,封測 / 代工 / 資本密集,封測 / 代工 / 資本密集,成熟複利,成熟複利,中,"EV/EBITDA, ROIC, normalized PE","EV/EBITDA, normalized PE, utilization/ROIC",資料不足,需要利用率、折舊與 capex 後 FCF 支持,complete,79.97,43856863232.0,50.936306,31.831009,20.97,6.4118223,3.7507625,0.031,0.26111,0.29722,0.11374,,,https://finance.yahoo.com/quote/GFS
US,UMC,UMC,UMC,US,USD,3. L3 半導體製造 / 記憶體,3. L3 半導體製造 / 記憶體,Mature-node foundry,封測 / 代工 / 資本密集,封測 / 代工 / 資本密集,成熟複利,成熟複利,中,"EV/EBITDA, ROIC, normalized PE","EV/EBITDA, normalized PE, utilization/ROIC",資料不足,需要利用率、折舊與 capex 後 FCF 支持,complete,22.18,55655976960.0,35.20635,27.587408,2.123,0.23119462,4.3155994,0.055,0.29609,0.43205002,0.20816,,,https://finance.yahoo.com/quote/UMC
US,WDC,WDC,Western Digital,US,USD,3. L3 半導體製造 / 記憶體,3. L3 半導體製造 / 記憶體,NAND / storage,封測 / 代工 / 資本密集,封測 / 代工 / 資本密集,已獲利成長,已獲利成長,中,"EV/EBITDA, ROIC, normalized PE","EV/EBITDA, normalized PE, utilization/ROIC",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,complete,531.21,183098605568.0,31.751945,30.159443,46.229,15.547134,25.398518,0.455,0.45428002,0.33353,0.55286,,,https://finance.yahoo.com/quote/WDC
US,STX,STX,Seagate,US,USD,3. L3 半導體製造 / 記憶體,3. L3 半導體製造 / 記憶體,HDD / enterprise storage,封測 / 代工 / 資本密集,封測 / 代工 / 資本密集,已獲利成長,已獲利成長,中,"EV/EBITDA, ROIC, normalized PE","EV/EBITDA, normalized PE, utilization/ROIC",過熱,資本密集模式 EV/EBITDA > 25x，需要高利用率多年維持,complete,879.8,199056605184.0,83.31439,33.26724,57.003,18.079618,418.15588,0.441,0.41571,0.31916,0.21599,,,https://finance.yahoo.com/quote/STX
US,ASML,ASML,ASML,US,USD,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,EUV / lithography,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,complete,1612.76,621586219008.0,53.758667,33.82436,48.478,18.44869,1427.0149,0.132,0.52603,0.37707,0.29713,,,https://finance.yahoo.com/quote/ASML
US,AMAT,AMAT,Applied Materials,US,USD,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,Deposition、etch、materials engineering,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",合理反映,估值與高毛利設備/晶片股大致相符,complete,450.06,357329371136.0,42.378532,27.833576,38.421,12.311514,14.945208,0.114,0.48956,0.31956,0.29314,,,https://finance.yahoo.com/quote/AMAT
US,LRCX,LRCX,Lam Research,US,USD,4. L3 半導體設備 / EDA / 測試,4. L3 半導體設備 / EDA / 測試,Etch / deposition,半導體設備 / 高毛利瓶頸股,半導體設備 / 高毛利瓶頸股,成熟複利,成熟複利,中,"Forward PE, EV/EBITDA, Reverse DCF","PE, PB, EV/EBITDA peer/history blend",偏熱,PE > 30x 已反映明顯 AI / 製程升級期待,complete,318.18,397906673664.0,60.26136,40.06129,50.574,18.352068,37.592155,0.238,0.49979,0.36195,0.30938998,,,https://finance.yahoo.com/quote/LRCX
